subject,subject_type,predicate,object,object_type,subject_cui,object_cui,subject_def,object_def,degree_subject,degree_object,key
umls:rectal_pouch,acquired_abnormality,umls:location_of,umls:evidence_of_previous_colonic_surgery,acquired_abnormality,C0939964,C0940510,A rectal pouch is a temporary or permanent surgical opening created in the rectum to allow stool evacuation.,Evidence of previous colonic surgery refers to medical signs or imaging findings indicating that a patient has undergone surgical procedures on the colon.,12.0,2.0,umls:rectal_pouch_umls:location_of_umls:evidence_of_previous_colonic_surgery
umls:colostomy_stoma,acquired_abnormality,umls:location_of,umls:colon_diverticulum_anatomic_structure,anatomical_abnormality,C0448971,C0012811,A colostomy stoma is a surgically created opening on the abdomen that allows waste to exit the body from the colon.,A colon diverticulum is a small pouch that forms in the wall of the colon.,3.0,1.0,umls:colostomy_stoma_umls:location_of_umls:colon_diverticulum_anatomic_structure
umls:colostomy_stoma,acquired_abnormality,umls:location_of,umls:polyps_colonic,anatomical_abnormality,C0448971,C0009376,A colostomy stoma is a surgically created opening on the abdomen that allows waste to exit the body from the colon.,Colonic polyps are growths on the inner lining of the colon that can be benign or precancerous.,3.0,4.0,umls:colostomy_stoma_umls:location_of_umls:polyps_colonic
umls:rectal_pouch,acquired_abnormality,umls:location_of,umls:cytology,biomedical_occupation_or_discipline,C0939964,C0010819,A rectal pouch is a temporary or permanent surgical opening created in the rectum to allow stool evacuation.,"The light microscopic study of normal and abnormal cells in fine needle aspirates (FNAs), body cavity fluids, and smears.",12.0,13.0,umls:rectal_pouch_umls:location_of_umls:cytology
umls:rectal_pouch,acquired_abnormality,umls:location_of,umls:exudate_in_the_colonic_lumen,body_substance,C0939964,C0940518,A rectal pouch is a temporary or permanent surgical opening created in the rectum to allow stool evacuation.,"Exudate in the colonic lumen is a fluid containing cells and proteins that leaks into the colon's interior, often due to inflammation or infection.",12.0,4.0,umls:rectal_pouch_umls:location_of_umls:exudate_in_the_colonic_lumen
umls:colostomy_stoma,acquired_abnormality,umls:location_of,umls:aspiration_fluid,diagnostic_procedure,C0448971,C0941215,A colostomy stoma is a surgically created opening on the abdomen that allows waste to exit the body from the colon.,Aspiration fluid is a sample of liquid removed from the body using a needle for diagnostic or therapeutic purposes.,3.0,3.0,umls:colostomy_stoma_umls:location_of_umls:aspiration_fluid
umls:rectal_pouch,acquired_abnormality,umls:location_of,umls:colonic_stenosis,disease_or_syndrome,C0939964,C0267466,A rectal pouch is a temporary or permanent surgical opening created in the rectum to allow stool evacuation.,Colonic stenosis is the abnormal narrowing of the colon that can obstruct the passage of stool.,12.0,2.0,umls:rectal_pouch_umls:location_of_umls:colonic_stenosis
umls:rectal_pouch,acquired_abnormality,umls:location_of,umls:colonic_parasites_diagnosis,eukaryote,C0939964,C0941185,A rectal pouch is a temporary or permanent surgical opening created in the rectum to allow stool evacuation.,"Colonic parasites (diagnosis) refers to the identification of parasitic infections in the colon through clinical evaluation, stool examination, and sometimes endoscopic biopsy.",12.0,9.0,umls:rectal_pouch_umls:location_of_umls:colonic_parasites_diagnosis
umls:rectal_pouch,acquired_abnormality,umls:location_of,umls:friable_colonic_mucosa,finding,C0939964,C0940542,A rectal pouch is a temporary or permanent surgical opening created in the rectum to allow stool evacuation.,Friable colonic mucosa refers to the lining of the colon that is easily damaged and bleeds upon slight touch or irritation.,12.0,1.0,umls:rectal_pouch_umls:location_of_umls:friable_colonic_mucosa
umls:rectal_pouch,acquired_abnormality,umls:location_of,umls:colonic_foreign_body,injury_or_poisoning,C0939964,C2004490,A rectal pouch is a temporary or permanent surgical opening created in the rectum to allow stool evacuation.,A colonic foreign body is an object that has become lodged within the colon.,12.0,1.0,umls:rectal_pouch_umls:location_of_umls:colonic_foreign_body
